time[s],avg_wind_speed[m_s],avg_precip[ml],avg_snow[cm]
1325998800,6.7,0.0,0.0
1326002400,6.7,0.0,0.0
1326006000,4.6,0.0,0.0
1326009600,6.7,0.0,0.0
1326013200,6.95,0.0,0.0
1326016800,5.1,0.0,0.0
1326020400,6.2,0.0,0.0
1326024000,5.15,0.0,0.0
1326027600,3.6,0.0,0.0
1326031200,6.2,0.0,0.0
1326034800,6.45,0.0,0.0
1326038400,6.2,0.0,0.0
1326042000,5.7,0.0,0.0
1326045600,6.45,0.0,0.0
1326049200,5.7,0.0,0.0
1326052800,7.2,0.0,0.0
1326056400,6.45,0.0,0.0
1326060000,6.7,0.0,0.0
1326063600,8.2,0.0,0.0
1326067200,7.2,0.0,0.0
1326070800,8.8,0.0,0.0
1326074400,6.2,0.0,0.0
1326078000,5.95,0.0,0.0
1326081600,2.85,0.0,0.0
1326085200,4.6,0.0,0.0
1326088800,4.85,0.0,0.0
1326092400,2.1,0.0,0.0
1326096000,2.6,0.0,0.0
1326099600,2.05,0.0,0.0
1326103200,3.1,0.0,0.0
1326106800,1.5,0.0,0.0
1326110400,0.75,0.0,0.0
1326114000,0.0,0.0,0.0
1326117600,0.0,0.0,0.0
1326121200,0.0,0.0,0.0
1326124800,2.1,0.0,0.0
1326128400,2.6,0.0,0.0
1326132000,2.85,0.0,0.0
1326135600,3.6,0.0,0.0
1326139200,4.1,0.0,0.0
1326142800,4.1,0.0,0.0
1326146400,2.1,0.0,0.0
1326150000,3.1,0.0,0.0
1326153600,3.6,0.0,0.0
1326157200,4.6,0.0,0.0
1326160800,2.6,0.0,0.0
1326164400,3.35,0.0,0.0
1326168000,2.3,0.0,0.0
1326171600,3.6,0.0,0.0
1326175200,3.76666666667,0.0,0.0
1326178800,3.6,0.0,0.0
1326182400,3.6,0.0,0.0
1326186000,3.6,0.0,0.0
1326189600,4.6,0.0,0.0
1326193200,5.1,0.0,0.0
1326196800,5.1,0.0,0.0
1326200400,6.7,0.0,0.0
1326204000,6.2,0.0,0.0
1326207600,6.45,0.0,0.0
1326211200,7.2,0.0,0.0
1326214800,7.2,0.0,0.0
1326218400,7.45,0.0,0.0
1326222000,8.8,0.0,0.0
1326225600,6.2,0.0,0.0
1326229200,6.2,0.0,0.0
1326232800,7.2,0.0,0.0
1326236400,6.7,0.0,0.0
1326240000,5.65,0.0,0.0
1326243600,5.1,0.0,0.0
1326247200,5.1,0.0,0.0
1326250800,4.1,0.0,0.0
1326254400,1.3,0.0,0.0
1326258000,3.1,0.0,0.0
1326261600,1.55,0.0,0.0
1326265200,2.1,0.0,0.0
1326268800,3.1,0.0,0.0
1326272400,2.6,0.0,0.0
1326276000,2.1,0.0,0.0
1326279600,2.1,0.0,0.0
1326283200,2.1,0.0,0.0
1326286800,1.5,0.0,0.0
1326290400,1.5,0.0,0.0
1326294000,2.05,0.0,0.0
1326297600,2.6,0.0,0.0
1326301200,3.1,0.0,0.0
1326304800,2.55,0.0,0.0
1326308400,4.1,0.0,0.0
1326312000,4.1,0.0,0.0
1326315600,4.1,0.0,0.0
1326319200,4.6,0.0,0.0
1326322800,4.6,0.0,0.0
1326326400,5.15,0.0,0.0
1326330000,4.6,0.0,0.0
1326333600,4.1,0.0,0.0
1326337200,5.9,0.25,0.0
1326340800,5.86666666667,1.83333333333,0.0
1326344400,7.2,2.65,0.0
1326348000,7.9,2.8,0.0
1326351600,8.8,2.0,0.0
1326355200,10.8,3.0,0.0
1326358800,11.3,4.05,0.0
1326362400,10.3,1.0,0.0
1326366000,8.8,2.3,0.0
1326369600,7.7,5.0,0.0
1326373200,9.18333333333,0.5,0.0
1326376800,10.825,1.775,0.0
1326380400,11.5,2.63333333333,0.0
1326384000,6.7,0.0,0.0
1326387600,6.45,0.0,0.0
1326391200,6.45,3.95,0.0
1326394800,4.6,0.0,0.0
1326398400,2.6,0.0,0.0
1326402000,2.05,0.0,0.0
1326405600,1.5,0.0,0.0
1326409200,0.75,0.0,0.0
1326412800,1.0,0.0,0.0
1326416400,3.1,0.0,0.0
1326420000,2.6,0.0,0.0
1326423600,2.85,0.0,0.0
1326427200,1.55,11.45,0.0
1326430800,4.1,0.0,0.0
1326434400,4.43333333333,0.0,0.0
1326438000,4.96666666667,0.0,0.0
1326441600,6.2,0.0,0.0
1326445200,7.75,0.0,0.0
1326448800,9.8,0.0,0.0
1326452400,11.3,0.0,0.0
1326456000,11.84,0.0,0.0
1326459600,11.8,0.0,0.0
1326463200,11.55,0.0,0.0
1326466800,14.275,0.0,0.0
1326470400,12.4,0.0,0.0
1326474000,17.0,0.0,0.0
1326477600,15.95,0.0,0.0
1326481200,14.9,0.0,0.0
1326484800,15.4,0.0,0.0
1326488400,15.95,0.0,0.0
1326492000,13.4,0.0,0.0
1326495600,13.9,0.0,0.0
1326499200,13.4,0.0,0.0
1326502800,11.3,0.0,0.0
1326506400,9.8,0.0,0.0
1326510000,10.05,0.0,0.0
1326513600,4.65,0.0,0.0
1326517200,10.8,0.0,0.0
1326520800,10.8,0.0,0.0
1326524400,9.3,0.0,0.0
1326528000,10.3,0.0,0.0
1326531600,9.55,0.0,0.0
1326535200,8.2,0.0,0.0
1326538800,8.8,0.0,0.0
1326542400,8.45,0.0,0.0
1326546000,9.8,0.0,0.0
1326549600,8.8,0.0,0.0
1326553200,8.45,0.0,0.0
1326556800,9.3,0.0,0.0
1326560400,7.2,0.0,0.0
1326564000,7.7,0.0,0.0
1326567600,9.3,0.0,0.0
1326571200,7.7,0.0,0.0
1326574800,7.7,0.0,0.0
1326578400,8.2,0.0,0.0
1326582000,7.2,0.0,0.0
1326585600,6.95,0.0,0.0
1326589200,6.2,0.0,0.0
1326592800,4.6,0.0,0.0
1326596400,4.85,0.0,0.0
1326600000,2.85,0.0,0.0
1326603600,8.2,0.0,0.0
1326607200,6.4,0.0,0.0
1326610800,9.8,0.0,0.0
1326614400,8.2,0.0,0.0
1326618000,8.2,0.0,0.0
1326621600,10.3,0.0,0.0
1326625200,9.8,0.0,0.0
1326628800,9.55,0.0,0.0
1326632400,8.8,0.0,0.0
1326636000,9.3,0.0,0.0
1326639600,8.25,0.0,0.0
1326643200,7.2,0.0,0.0
1326646800,5.7,0.0,0.0
1326650400,6.45,0.0,0.0
1326654000,7.2,0.0,0.0
1326657600,6.7,0.0,0.0
1326661200,7.45,0.0,0.0
1326664800,8.2,0.0,0.0
1326668400,8.8,0.0,0.0
1326672000,7.7,0.0,0.0
1326675600,6.2,0.0,0.0
1326679200,5.7,0.0,0.0
1326682800,5.7,0.0,0.0
1326686400,2.55,0.0,0.0
1326690000,4.1,0.0,0.0
1326693600,3.6,0.0,0.0
1326697200,2.6,0.0,0.0
1326700800,2.1,0.0,0.0
1326704400,1.8,0.0,0.0
1326708000,2.1,0.0,0.0
1326711600,1.5,0.0,0.0
1326715200,1.8,0.0,0.0
1326718800,1.5,0.0,0.0
1326722400,2.1,0.0,0.0
1326726000,2.35,0.0,0.0
1326729600,4.1,0.0,0.0
1326733200,5.7,0.0,0.0
1326736800,6.7,0.0,0.0
1326740400,6.2,0.0,0.0
1326744000,8.8,0.0,0.0
1326747600,9.0,0.0,0.0
1326751200,10.3,0.0,0.0
1326754800,11.3,0.0,0.0
1326758400,9.75,0.0,0.0
1326762000,8.8,0.0,0.0
1326765600,8.8,0.0,0.0
1326769200,6.9,0.0,0.0
1326772800,3.85,0.0,0.0
1326776400,7.7,0.5,0.0
1326780000,6.95,0.5,0.0
1326783600,6.7,0.0,0.0
1326787200,6.7,0.3,0.0
1326790800,6.45,0.4,0.0
1326794400,5.4,0.0,0.0
1326798000,4.6,0.0,0.0
1326801600,4.35,0.4,0.0
1326805200,4.6,0.0,0.0
1326808800,3.6,0.0,0.0
1326812400,3.85,0.0,0.0
1326816000,3.1,0.5,0.0
1326819600,3.1,1.8,0.0
1326823200,3.6,1.16666666667,0.0
1326826800,4.1,0.8,0.0
1326830400,4.43333333333,0.5,0.0
1326834000,4.85,1.5,0.0
1326837600,4.6,0.0,0.0
1326841200,4.6,0.0,0.0
1326844800,5.4,1.5,0.0
1326848400,6.7,0.0,0.0
1326852000,7.7,0.0,0.0
1326855600,6.95,0.0,0.0
1326859200,2.85,2.9,0.0
1326862800,5.7,0.0,0.0
1326866400,5.4,0.0,0.0
1326870000,10.3,0.0,0.0
1326873600,11.3,0.0,0.0
1326877200,10.05,0.0,0.0
1326880800,8.8,0.0,0.0
1326884400,11.3,0.0,0.0
1326888000,10.8,3.05,0.0
1326891600,13.4,0.0,0.0
1326895200,10.8,0.0,0.0
1326898800,10.55,0.0,0.0
1326902400,8.2,0.0,0.0
1326906000,10.8,0.0,0.0
1326909600,10.3,0.0,0.0
1326913200,10.3,0.0,0.0
1326916800,13.4,0.0,0.0
1326920400,11.1,0.0,0.0
1326924000,6.2,0.0,0.0
1326927600,8.8,0.0,0.0
1326931200,8.2,0.0,0.0
1326934800,5.7,0.0,0.0
1326938400,5.1,0.0,0.0
1326942000,5.4,0.0,0.0
1326945600,2.3,0.0,0.0
1326949200,5.1,0.0,0.0
1326952800,5.4,0.0,0.0
1326956400,4.6,0.0,0.0
1326960000,4.6,0.0,0.0
1326963600,4.35,0.0,0.0
1326967200,2.6,0.0,0.0
1326970800,2.1,0.0,0.0
1326974400,1.8,0.0,0.0
1326978000,3.6,0.0,0.0
1326981600,3.6,0.0,0.0
1326985200,3.35,0.0,0.0
1326988800,3.6,0.0,0.0
1326992400,2.6,0.0,0.0
1326996000,3.1,0.0,0.0
1326999600,3.1,0.0,0.0
1327003200,5.7,0.0,0.0
1327006800,5.5,0.0,0.0
1327010400,6.2,0.0,0.0
1327014000,7.2,0.0,0.0
1327017600,8.25,0.0,0.0
1327021200,7.2,0.0,0.0
1327024800,4.1,0.0,0.0
1327028400,5.15,0.0,0.0
1327032000,3.1,0.0,0.0
1327035600,6.2,0.0,0.0
1327039200,6.7,0.0,0.0
1327042800,7.2,0.0,0.0
1327046400,5.7,0.0,0.0
1327050000,5.95,0.0,0.0
1327053600,5.1,0.0,0.0
1327057200,8.2,0.0,0.0
1327060800,9.0,0.0,0.0
1327064400,10.3,0.0,0.0
1327068000,10.8,0.0,0.0
1327071600,9.25,0.0,0.0
1327075200,6.7,0.0,0.0
1327078800,8.2,0.0,0.0
1327082400,7.45,0.0,0.0
1327086000,5.1,0.0,0.0
1327089600,4.6,0.0,0.0
1327093200,4.35,0.0,0.0
1327096800,3.1,0.0,0.0
1327100400,4.1,0.0,0.0
1327104000,4.1,0.0,0.0
1327107600,2.6,0.0,0.0
1327111200,2.6,0.0,0.0
1327114800,2.6,0.0,0.0
1327118400,1.55,0.0,0.0
1327122000,3.6,0.0,0.0
1327125600,3.6,0.0,0.0
1327129200,3.1,0.0,0.0
1327132800,5.4,0.0,0.0
1327136400,5.65,0.075,0.0
1327140000,4.6,0.0,0.0
1327143600,6.45,0.15,0.0
1327147200,6.325,0.0,0.0
1327150800,6.95,0.25,0.0
1327154400,6.95,0.75,0.0
1327158000,7.1,0.66,0.0
1327161600,7.7,0.4,0.0
1327165200,8.5,1.0,2.5
1327168800,7.7,1.56666666667,1.66666666667
1327172400,8.75,0.0,0.0
1327176000,8.2,0.0,0.0
1327179600,6.33333333333,0.1,0.0
1327183200,6.7,0.0,0.0
1327186800,5.7,0.0,5.0
1327190400,5.15,0.15,2.5
1327194000,5.1,0.0,0.0
1327197600,6.7,0.0,0.0
1327201200,6.2,0.0,0.0
1327204800,3.35,2.15,0.0
1327208400,5.7,0.0,5.0
1327212000,5.15,0.0,2.5
1327215600,5.7,0.0,0.0
1327219200,6.2,0.0,0.0
1327222800,5.65,0.0,0.0
1327226400,3.6,0.0,0.0
1327230000,4.1,0.0,5.0
1327233600,3.85,1.9,2.5
1327237200,3.85,0.0,0.0
1327240800,5.1,0.0,0.0
1327244400,4.6,0.0,0.0
1327248000,4.1,0.0,0.0
1327251600,4.1,0.0,5.0
1327255200,4.1,0.0,1.66666666667
1327258800,3.1,0.0,0.0
1327262400,4.1,0.0,0.0
1327266000,3.35,0.0,0.0
1327269600,2.6,0.0,0.0
1327273200,3.6,0.0,3.0
1327276800,4.1,0.0,1.5
1327280400,4.1,0.0,0.0
1327284000,4.1,0.0,0.0
1327287600,4.1,0.0,0.0
1327291200,1.8,0.0,2.5
1327294800,3.6,0.0,3.0
1327298400,4.35,0.0,1.5
1327302000,2.6,0.0,0.0
1327305600,2.1,0.0,0.0
1327309200,2.1,0.0,0.0
1327312800,2.6,0.0,0.0
1327316400,2.76666666667,0.0,1.0
1327320000,2.93333333333,0.0,1.0
1327323600,2.6,0.0,0.0
1327327200,2.35,0.0,0.0
1327330800,2.35,0.15,0.0
1327334400,3.35,0.3,0.0
1327338000,4.35,0.4,0.0
1327341600,4.6,0.55,0.0
1327345200,6.7,0.3,0.0
1327348800,6.65,0.15,0.0
1327352400,6.5,0.6,0.0
1327356000,8.2,0.5,0.0
1327359600,8.2,0.65,0.0
1327363200,8.76666666667,1.7,0.0
1327366800,9.3,0.3,0.0
1327370400,10.05,0.5,0.0
1327374000,8.76666666667,0.333333333333,0.0
1327377600,3.975,1.6,0.75
1327381200,3.6,0.0,0.0
1327384800,2.85,1.0,0.0
1327388400,4.1,0.0,0.0
1327392000,5.1,0.0,0.0
1327395600,4.85,0.0,0.0
1327399200,4.1,0.0,0.0
1327402800,5.1,0.0,0.0
1327406400,4.475,1.45,0.0
1327410000,2.6,0.0,0.0
1327413600,3.1,0.0,0.0
1327417200,4.4,0.0,0.0
1327420800,7.2,0.0,0.0
1327424400,8.8,0.0,0.0
1327428000,7.7,0.0,0.0
1327431600,8.8,0.0,0.0
1327435200,6.7,0.0,0.0
1327438800,6.45,0.0,0.0
1327442400,5.7,0.0,0.0
1327446000,5.7,0.0,0.0
1327449600,5.4,0.0,0.0
1327453200,5.1,0.0,0.0
1327456800,6.7,0.0,0.0
1327460400,7.2,0.0,0.0
1327464000,2.85,0.0,0.0
1327467600,7.7,0.0,0.0
1327471200,7.45,0.0,0.0
1327474800,7.7,0.0,0.0
1327478400,8.2,0.0,0.0
1327482000,8.75,0.0,0.0
1327485600,6.7,0.0,0.0
1327489200,5.1,0.0,0.0
1327492800,6.15,0.0,0.0
1327496400,6.7,0.0,0.0
1327500000,6.2,0.0,0.0
1327503600,6.2,0.0,0.0
1327507200,5.1,0.0,0.0
1327510800,5.1,0.0,0.0
1327514400,6.15,0.0,0.0
1327518000,3.6,0.0,0.0
1327521600,2.6,0.0,0.0
1327525200,3.1,0.0,0.0
1327528800,4.1,0.0,0.0
1327532400,4.6,0.0,0.0
1327536000,4.1,0.0,0.0
1327539600,4.1,0.0,0.0
1327543200,4.1,0.0,0.0
1327546800,3.85,0.0,0.0
1327550400,2.3,0.0,0.0
1327554000,3.1,0.0,0.0
1327557600,1.55,0.0,0.0
1327561200,3.1,0.0,0.0
1327564800,3.1,0.0,0.0
1327568400,3.35,0.0,0.0
1327572000,3.1,0.0,0.0
1327575600,1.5,0.0,0.0
1327579200,0.75,0.0,0.0
1327582800,0.0,0.0,0.0
1327586400,1.5,0.0,0.0
1327590000,1.5,0.0,0.0
1327593600,2.1,0.0,0.0
1327597200,3.1,0.0,0.0
1327600800,2.6,0.0,0.0
1327604400,3.6,0.3,0.0
1327608000,4.1,0.3,0.0
1327611600,4.9,0.25,0.0
1327615200,3.93333333333,0.433333333333,0.0
1327618800,2.6,0.0,0.0
1327622400,2.6,1.0,0.0
1327626000,3.1,0.3,0.0
1327629600,3.26666666667,0.366666666667,0.0
1327633200,3.26666666667,1.1,0.0
1327636800,2.4,1.8,0.0
1327640400,3.1,0.0,0.0
1327644000,2.4,1.36666666667,0.0
1327647600,2.06666666667,0.0,0.0
1327651200,3.6,0.0,0.0
1327654800,3.85,0.075,0.0
1327658400,3.85,0.0,0.0
1327662000,8.25,0.0,0.0
1327665600,9.25,0.3,0.0
1327669200,10.3,0.65,0.0
1327672800,10.3,0.3,0.0
1327676400,10.55,1.25,0.0
1327680000,6.3,1.75,0.0
1327683600,3.76666666667,1.26666666667,0.0
1327687200,5.33333333333,2.36666666667,0.0
1327690800,5.175,0.0,0.0
1327694400,11.6,0.0,0.0
1327698000,10.55,0.0,0.0
1327701600,10.3,0.0,0.0
1327705200,7.2,0.0,0.0
1327708800,8.0,0.0,0.0
1327712400,7.2,0.0,0.0
1327716000,11.3,0.0,0.0
1327719600,10.8,0.0,0.0
1327723200,4.4,3.7,0.0
1327726800,7.7,0.0,0.0
1327730400,7.7,0.0,0.0
1327734000,5.7,0.0,0.0
1327737600,5.7,0.0,0.0
1327741200,5.95,0.0,0.0
1327744800,4.1,0.0,0.0
1327748400,3.1,0.0,0.0
1327752000,2.6,3.55,0.0
1327755600,2.6,0.0,0.0
1327759200,0.0,0.0,0.0
1327762800,1.8,0.0,0.0
1327766400,3.1,0.0,0.0
1327770000,4.6,0.0,0.0
1327773600,4.85,0.0,0.0
1327777200,8.2,0.0,0.0
1327780800,9.3,0.0,0.0
1327784400,9.55,0.0,0.0
1327788000,6.7,0.0,0.0
1327791600,4.6,0.0,0.0
1327795200,5.9,0.0,0.0
1327798800,7.7,0.0,0.0
1327802400,8.8,0.0,0.0
1327806000,10.55,0.0,0.0
1327809600,3.6,0.0,0.0
1327813200,6.7,0.0,0.0
1327816800,8.25,0.0,0.0
1327820400,8.2,0.0,0.0
1327824000,7.7,0.0,0.0
1327827600,6.95,0.0,0.0
1327831200,5.1,0.0,0.0
1327834800,4.6,0.0,0.0
1327838400,5.15,0.0,0.0
1327842000,7.2,0.0,0.0
1327845600,8.2,0.0,0.0
1327849200,7.45,0.0,0.0
1327852800,7.2,0.0,0.0
1327856400,6.2,0.0,0.0
1327860000,6.45,0.0,0.0
1327863600,8.2,0.0,0.0
1327867200,8.2,0.0,0.0
1327870800,7.95,0.0,0.0
1327874400,7.7,0.0,0.0
1327878000,5.7,0.0,0.0
1327881600,5.95,0.0,0.0
1327885200,5.1,0.0,0.0
1327888800,7.2,0.0,0.0
1327892400,8.0,0.0,0.0
1327896000,3.6,0.0,0.0
1327899600,7.7,0.0,0.0
1327903200,7.7,0.0,0.0
1327906800,10.3,0.0,0.0
1327910400,10.3,0.0,0.0
1327914000,9.25,0.0,0.0
1327917600,7.2,0.0,0.0
1327921200,10.8,0.0,0.0
1327924800,8.5,0.0,0.0
1327928400,7.7,0.0,0.0
1327932000,8.2,0.0,0.0
1327935600,8.2,0.0,0.0
1327939200,8.8,0.0,0.0
1327942800,8.2,0.0,0.0
1327946400,8.2,0.0,0.0
1327950000,8.2,0.0,0.0
1327953600,7.7,0.0,0.0
1327957200,6.4,0.0,0.0
1327960800,4.6,0.0,0.0
1327964400,4.6,0.0,0.0
1327968000,4.1,0.0,0.0
1327971600,3.6,0.0,0.0
1327975200,4.6,0.0,0.0
1327978800,4.6,0.0,0.0
1327982400,3.1,0.0,0.0
1327986000,5.1,0.0,0.0
1327989600,5.4,0.0,0.0
1327993200,5.1,0.0,0.0
1327996800,6.7,0.0,0.0
1328000400,6.2,0.0,0.0
1328004000,4.6,0.0,0.0
1328007600,5.7,0.0,0.0
1328011200,5.15,0.0,0.0
1328014800,5.7,0.0,0.0
1328018400,5.1,0.0,0.0
1328022000,5.9,0.0,0.0
1328025600,6.7,0.0,0.0
1328029200,6.7,0.0,0.0
1328032800,5.9,0.0,0.0
1328036400,4.1,0.0,0.0
1328040000,6.2,0.0,0.0
1328043600,5.65,0.0,0.0
1328047200,3.6,0.0,0.0
1328050800,0.0,0.0,0.0
1328054400,1.8,0.0,0.0
1328058000,4.6,0.0,0.0
1328061600,3.6,0.0,0.0
1328065200,3.6,0.0,0.0
1328068800,2.3,0.0,0.0
1328072400,3.1,0.0,0.0
1328076000,2.85,0.0,0.0
1328079600,3.6,0.0,0.0
1328083200,3.6,0.0,0.0
1328086800,3.85,0.0,0.0
1328090400,4.1,0.3,0.0
1328094000,5.7,0.0,0.0
1328097600,5.7,0.4,0.0
1328101200,3.6,0.0,0.0
1328104800,4.6,0.0,0.0
1328108400,5.65,0.25,0.0
1328112000,5.7,0.0,0.0
1328115600,6.2,0.0,0.0
1328119200,7.5,0.25,0.0
1328122800,7.7,0.0,0.0
1328126400,7.2,0.0,0.0
1328130000,7.2,0.0,0.0
1328133600,7.2,0.0,0.0
1328137200,5.1,0.0,0.0
1328140800,4.85,0.0,0.0
1328144400,4.1,0.0,0.0
1328148000,4.1,0.0,0.0
1328151600,3.85,0.0,0.0
1328155200,2.85,0.4,0.0
1328158800,5.7,0.0,0.0
1328162400,6.2,0.0,0.0
1328166000,5.1,0.0,0.0
1328169600,3.6,0.0,0.0
1328173200,3.35,0.0,0.0
1328176800,2.6,0.0,0.0
1328180400,1.5,0.0,0.0
1328184000,1.8,0.25,0.0
1328187600,3.6,0.0,0.0
1328191200,4.1,0.0,0.0
1328194800,4.1,0.0,0.0
1328198400,6.7,0.0,0.0
1328202000,5.7,0.0,0.0
1328205600,5.95,0.0,0.0
1328209200,4.6,0.0,0.0
1328212800,4.6,0.0,0.0
1328216400,4.6,0.0,0.0
1328220000,7.2,0.0,0.0
1328223600,7.7,0.0,0.0
1328227200,8.25,0.0,0.0
1328230800,8.2,0.0,0.0
1328234400,9.8,0.0,0.0
1328238000,10.3,0.0,0.0
1328241600,4.9,0.0,0.0
1328245200,10.3,0.0,0.0
1328248800,9.55,0.0,0.0
1328252400,7.2,0.0,0.0
1328256000,7.2,0.0,0.0
1328259600,8.0,0.0,0.0
1328263200,7.7,0.0,0.0
1328266800,7.2,0.0,0.0
1328270400,7.7,0.0,0.0
1328274000,9.3,0.0,0.0
1328277600,9.3,0.0,0.0
1328281200,7.75,0.0,0.0
1328284800,7.2,0.0,0.0
1328288400,5.7,0.0,0.0
1328292000,4.9,0.0,0.0
1328295600,3.6,0.0,0.0
1328299200,5.7,0.0,0.0
1328302800,4.9,0.0,0.0
